#  Index into NumPy file "pose_data_ycbv-3-gdrnpp.npz".
#  Created at  6:03PM EDT on Sep 11, 2023
#    DATASET:   ycbv
#    OBJECT:    3
#    ESTIMATOR: gdrnpp
#  The errors reported in this file have taken discrete and continuous object symmetries into account.
#  Bounding boxes are recorded in pixel coordinates as ((upper-left x, y), (lower-right x, y)) with the origin in the upper-left.
#
#  When a row is marked as a TP, it does not necessarily mean that the bounding boxes overlap.
#  For each ground-truth instance, the prediction best overlapping that instance belongs to that ground-truth.
#  All TPs are in the corresponding *.npz file.
#
#  When a row is marked as a FN, it means that there is a ground-truth but the predictor failed to make a prediction at all.
#  FNs are NOT recorded in the *.npz at all.
#
#  When a row is marked as a FP, it means the predictor hallucinated; there is no corresponding ground-truth instance.
#  FPs are NOT recorded in the *.npz at all.
#
#  Scene  <t>  Frame  <t>  Index  <t>  Error cat.  <t>  Visibility ratio  <t>  Score  <t>  R_err(degrees)  <t>  t_err(meters)  <t>  Gr.Tr.BBox  <t>  Pred.BBox
000048	47	*	FP	*	0.004095699638128281	*	*	*	48.0,47.0,51.0,47.00409569963813
000049	1	0	TP	0.9989705882352942	0.9697265625	3.507564690854109	0.0028924015599154952	232.0,131.0,429.0,339.0	49.0,1.0,52.0,1.9697265625
000049	36	1	TP	0.9986489529385274	0.97216796875	3.164563801998664	0.002745589198773992	232.0,140.0,425.0,345.0	49.0,36.0,52.0,36.97216796875
000049	47	2	TP	0.9993865971476767	0.967803955078125	3.3068157310344564	0.002806401917739742	230.0,144.0,420.0,346.0	49.0,47.0,52.0,47.967803955078125
000049	58	3	TP	0.9992531446540881	0.9634923934936523	3.212872691435486	0.002066382857173256	222.0,156.0,408.0,354.0	49.0,58.0,52.0,58.96349239349365
000049	65	4	TP	0.9991945876288659	0.9677889347076416	3.11044700432961	0.0033138949207511775	232.0,165.0,415.0,361.0	49.0,65.0,52.0,65.96778893470764
000049	73	5	TP	0.9950752950752951	0.9648771286010742	3.2699016801355314	0.002683326703090829	222.0,174.0,404.0,368.0	49.0,73.0,52.0,73.96487712860107
000049	91	6	TP	0.9995472133036963	0.9648606777191162	3.347866877081196	0.002418578861038215	217.0,172.0,398.0,364.0	49.0,91.0,52.0,91.96486067771912
000049	109	7	TP	0.9995853375352463	0.9638845920562744	3.456576654661568	0.0022259396185535974	215.0,187.0,395.0,378.0	49.0,109.0,52.0,109.96388459205627
000049	125	8	TP	0.999050489204475	0.9682769775390625	3.033436677148499	0.0028960520321090794	189.0,198.0,373.0,389.0	49.0,125.0,52.0,125.96827697753906
000049	148	9	TP	0.9995915366391634	0.96728515625	2.870912237503902	0.002344224592588287	190.0,178.0,379.0,370.0	49.0,148.0,52.0,148.96728515625
000049	231	10	TP	1.0	0.97216796875	3.4578179440600687	0.0021574410610147696	173.0,184.0,385.0,379.0	49.0,231.0,52.0,231.97216796875
000049	357	11	TP	1.0	0.9722614288330078	1.599356178727354	0.007564699929443115	136.0,189.0,382.0,371.0	49.0,357.0,52.0,357.972261428833
000049	521	12	TP	1.0	0.9643726348876953	1.6705493283810462	0.010021994754067025	182.0,174.0,434.0,338.0	49.0,521.0,52.0,521.9643726348877
000049	526	13	TP	1.0	0.9633965492248535	1.7545698097439617	0.008571814646852966	176.0,179.0,428.0,343.0	49.0,526.0,52.0,526.9633965492249
000049	537	14	TP	0.9997182645093777	0.9609746932983398	1.710811921884294	0.007203795380951989	174.0,184.0,427.0,347.0	49.0,537.0,52.0,537.9609746932983
000049	542	15	TP	1.0	0.9590041637420654	1.5114088906206322	0.010909629835384	174.0,185.0,427.0,347.0	49.0,542.0,52.0,542.9590041637421
