#  Index into NumPy file "pose_data_ycbv-3-gdrnpp.npz".
#  Created at  6:21PM EDT on Sep 11, 2023
#    DATASET:   ycbv
#    OBJECT:    3
#    ESTIMATOR: gdrnpp
#  The errors reported in this file have taken discrete and continuous object symmetries into account.
#  Bounding boxes are recorded in pixel coordinates as ((upper-left x, y), (lower-right x, y)) with the origin in the upper-left.
#
#  When a row is marked as a TP, it does not necessarily mean that the bounding boxes overlap.
#  For each ground-truth instance, the prediction best overlapping that instance belongs to that ground-truth.
#  All TPs are in the corresponding *.npz file.
#
#  When a row is marked as a FN, it means that there is a ground-truth but the predictor failed to make a prediction at all.
#  FNs are NOT recorded in the *.npz at all.
#
#  When a row is marked as a FP, it means the predictor hallucinated; there is no corresponding ground-truth instance.
#  FPs are NOT recorded in the *.npz at all.
#
#  Scene  <t>  Frame  <t>  Index  <t>  Error cat.  <t>  Visibility ratio  <t>  Score  <t>  R_err(degrees)  <t>  t_err(meters)  <t>  Gr.Tr.BBox  <t>  Pred.BBox
000048	47	*	FP	*	0.004095699638128281	*	*	*	48.0,47.0,51.0,47.00409569963813
000049	1	0	TP	0.9989705882352942	0.9697265625	5.736426634288732	0.003084107782423985	232.0,131.0,429.0,339.0	49.0,1.0,52.0,1.9697265625
000049	36	1	TP	0.9986489529385274	0.97216796875	5.3950975599649285	0.0028230875796911702	232.0,140.0,425.0,345.0	49.0,36.0,52.0,36.97216796875
000049	47	2	TP	0.9993865971476767	0.967803955078125	5.504651519621097	0.005432060912885103	230.0,144.0,420.0,346.0	49.0,47.0,52.0,47.967803955078125
000049	58	3	TP	0.9992531446540881	0.9634923934936523	4.864886677000518	0.006121789236545069	222.0,156.0,408.0,354.0	49.0,58.0,52.0,58.96349239349365
000049	65	4	TP	0.9991945876288659	0.9677889347076416	4.918605757051387	0.005821074216506663	232.0,165.0,415.0,361.0	49.0,65.0,52.0,65.96778893470764
000049	73	5	TP	0.9950752950752951	0.9648771286010742	5.011535423927348	0.004872550305876349	222.0,174.0,404.0,368.0	49.0,73.0,52.0,73.96487712860107
000049	91	6	TP	0.9995472133036963	0.9648606777191162	4.996122305551751	0.007299415455624498	217.0,172.0,398.0,364.0	49.0,91.0,52.0,91.96486067771912
000049	109	7	TP	0.9995853375352463	0.9638845920562744	4.735362011238868	0.005561383721234299	215.0,187.0,395.0,378.0	49.0,109.0,52.0,109.96388459205627
000049	125	8	TP	0.999050489204475	0.9682769775390625	4.55927258294569	0.009834930095706029	189.0,198.0,373.0,389.0	49.0,125.0,52.0,125.96827697753906
000049	148	9	TP	0.9995915366391634	0.96728515625	4.093135409436355	0.006832975530030705	190.0,178.0,379.0,370.0	49.0,148.0,52.0,148.96728515625
