1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	1
17	0
18	0
19	0
20	1
21	1
22	0
23	0
24	1
25	0
26	1
27	0
28	0
29	0
30	1
31	1
32	0
33	1
34	0
35	0
36	1
37	0
38	1
39	1
40	0
41	1
42	1
43	1
44	1
45	0
46	0
47	1
48	0
49	0
50	0
51	0
52	1
53	0
54	0
55	1
56	1
57	1
58	0
59	1
60	1
61	0
62	1
63	1
64	0
65	0
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	0
76	1
77	0
78	1
79	0
80	0
81	1
82	1
83	1
84	0
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	0
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	0
114	1
115	1
116	1
117	1
118	0
119	1
120	1
121	1
122	1
123	0
124	1
125	1
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	1
138	1
139	1
140	1
141	0
142	0
143	1
144	1
145	1
146	1
147	1
148	0
149	1
150	1
151	1
152	0
153	0
154	0
155	1
156	1
157	1
158	1
159	0
160	0
161	0
162	1
163	0
164	1
165	0
166	0
167	0
168	1
169	1
170	0
171	0
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	0
